,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
119,291550,"(155,694)","(11,542)","(34,462)","(48,358)","(25,475)","(4,426)","(5,848)",(511),"(1,781)","(5,561)"
120,962130,"(37,482)","(1,812)","(1,230)","(1,057)","(4,152)",(262),"(10,521)",(90),"(1,362)",(640)
121,1240440,"(126,523)","(2,234)","(6,961)","(1,297)","(7,302)","(1,011)","(8,579)",(335),(652),(875)
122,1290000,"(31,023)",(820),(431),(336),(406),(90),"(1,772)",(491),"(1,380)",(166)
123,613100,"(45,304)","(2,232)","(2,114)","(3,267)","(3,806)",(708),"(5,093)",(231),"(2,415)","(3,405)"
124,1824220,"(15,566)",(412),"(1,413)",(655),"(1,691)",(114),"(4,099)",(101),(675),(337)
125,250900,"(117,080)","(8,773)","(30,844)","(8,939)","(24,609)","(3,762)","(27,899)",(189),"(9,315)","(11,005)"
126,266410,"(2,114)",(139),(253),(201),(64),(34),(42),(20),(12),(32)
127,244850,"(74,648)","(3,803)","(2,147)","(1,771)","(9,638)",(897),"(3,579)",(175),(445),"(1,879)"
128,251570,"(147,830)","(6,745)","(13,169)","(7,202)","(33,698)",(837),"(34,340)","(2,137)","(2,976)","(7,526)"
129,976730,"(150,710)","(3,671)","(12,585)","(1,469)","(4,986)","(1,189)","(26,810)",(224),"(1,306)",(821)
130,526870,"(91,707)","(5,118)","(2,606)","(2,704)","(11,736)",(681),"(7,992)",(747),"(2,363)","(1,868)"
131,703080,"(42,711)","(4,131)","(1,476)","(1,730)",(959),(345),"(9,553)",(196),"(1,220)","(1,291)"
132,232090,"(59,954)","(2,478)","(6,977)","(3,630)","(15,565)",(632),"(11,605)",(671),"(2,696)","(1,426)"
133,264710,"(151,526)","(8,509)","(7,189)","(6,279)","(21,574)","(1,051)","(22,760)",(746),"(4,308)","(4,429)"
134,1929610,"(7,364)",(359),(377),(176),(721),(61),(214),(43),(99),(208)
135,1056640,"(16,478)",(366),(888),"(1,326)",(482),(101),(254),(19),(11),(95)
136,322330,"(113,917)","(3,444)","(16,707)","(30,824)","(77,669)","(1,006)","(106,013)",(455),"(10,571)","(16,163)"
137,2050650,"(40,260)","(1,496)","(6,726)","(8,685)","(2,197)",(564),"(18,372)",(620),"(1,977)",(612)
138,202970,"(23,541)","(1,825)","(2,729)","(2,559)","(5,462)",(742),(274),(147),(299),(915)
139,427520,"(114,544)","(3,805)","(2,907)","(2,604)","(14,023)",(655),"(11,419)","(1,168)","(3,113)","(3,761)"
140,813780,"(57,970)","(5,433)","(18,554)","(5,766)","(2,762)","(1,202)","(18,110)",(161),"(1,623)","(1,168)"
141,1624540,"(1,531)",(197),(120),(198),(117),(19),(319),(9),(54),(30)
142,236850,"(66,293)","(3,491)","(2,654)","(1,498)","(7,539)","(1,207)","(11,471)",(305),"(1,361)","(6,335)"
143,814380,"(72,138)","(2,462)","(7,932)","(5,076)","(6,960)","(1,197)","(124,216)","(1,600)","(7,932)","(1,797)"
144,2138710,"(1,904)",(81),(192),(185),(244),(28),"(1,354)",(22),(86),(15)
145,488790,"(13,769)",(438),"(1,505)","(1,682)","(1,959)",(102),"(1,208)",(14),(196),(594)
146,1607680,(808),(20),(128),(48),(40),(7),(105),(5),(37),(17)
147,1599600,"(11,557)",(161),(260),(118),(424),(31),(570),(31),(136),(102)
148,1465360,"(11,947)",(697),(667),(558),"(6,107)",(120),"(1,715)",(101),(204),"(1,079)"
149,1217060,"(38,644)","(1,476)","(1,476)","(1,622)","(3,901)",(219),"(31,182)",(490),"(4,350)",(444)
150,1361510,"(5,464)",(144),(550),(284),"(2,712)",(37),"(1,571)",(31),(146),(33)
151,393380,"(87,572)","(3,160)","(2,615)","(3,665)","(15,130)",(625),"(17,308)",(191),(952),"(1,574)"
152,286160,"(41,028)",(738),"(2,091)","(2,705)","(3,769)",(347),"(1,898)",(144),"(1,939)",(300)
153,1629520,"(2,953)",(90),(150),(116),(39),(15),(761),(34),(89),(27)
154,774801,"(12,266)",(282),(188),(77),(150),(21),(132),(79),(132),(84)
155,242050,"(26,960)","(1,348)","(1,749)","(3,481)","(6,248)",(362),"(10,307)",(219),"(1,386)","(1,186)"
156,1426210,"(36,627)","(2,105)","(1,933)","(1,573)","(3,390)",(374),"(74,560)",(291),"(5,095)",(789)
157,374320,"(145,381)","(6,046)","(21,844)","(17,795)","(31,852)","(2,950)","(89,505)","(1,436)","(16,323)","(5,323)"
158,1794680,"(112,096)","(4,404)","(8,880)","(8,593)","(13,911)","(1,540)","(19,205)","(2,886)","(14,891)","(4,082)"
159,1313140,"(35,984)","(1,489)","(3,126)","(2,666)","(4,049)",(404),"(3,873)",(345),"(1,587)",(932)
160,1599660,"(1,364)",(83),(62),(52),(34),(28),(119),(10),(27),(36)
161,1229490,"(60,011)",(457),"(4,150)","(1,578)","(4,734)",(252),(378),(50),(205),(675)
162,814000,"(1,419)",(128),(112),(54),(63),(37),(202),(53),(82),(24)
163,440900,"(53,205)","(4,172)","(3,812)","(5,412)","(7,404)",(585),"(10,705)",(404),(830),"(1,605)"
164,1361210,"(54,860)","(2,034)",(898),(251),"(3,086)",(232),"(7,122)",(160),"(1,020)",(472)
165,2338770,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
166,1985810,"(3,497)",(186),(229),(373),(312),(46),"(1,357)",(20),(91),(108)
167,1669000,"(6,922)",(291),(128),(74),"(1,156)",(68),"(1,035)",(69),(219),(128)
168,1190000,"(11,092)",(983),(835),(849),"(1,797)",(245),(741),(110),(265),(980)
169,1988550,"(1,560)",(17),(11),(17),(21),(2),(51),(14),(6),(18)
170,204360,"(45,381)","(1,707)","(8,404)","(12,281)","(12,305)",(841),"(11,176)",(188),"(1,333)","(1,922)"
171,1382070,"(1,856)",(110),(67),(77),(156),(21),(308),(36),(39),(15)
172,1517290,"(107,248)","(4,111)","(3,663)","(4,083)","(11,038)",(703),"(52,187)","(2,588)","(5,214)","(2,022)"
173,1332010,"(70,107)","(3,136)","(5,699)","(4,613)","(17,059)",(686),"(11,031)",(745),"(1,485)","(1,749)"
174,949230,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
175,1049590,"(10,305)",(414),"(1,449)","(2,484)","(1,765)",(122),"(6,785)",(315),"(22,852)",(221)
176,261550,"(99,665)","(5,907)","(3,447)","(2,237)","(15,007)",(934),"(55,207)",(594),"(3,766)","(4,749)"
177,550,"(251,641)","(8,759)","(110,785)","(40,371)","(93,379)","(3,531)","(155,794)","(2,227)","(14,456)","(12,993)"
178,1129580,"(19,844)","(1,814)",(796),(558),"(1,853)",(316),"(1,877)",(194),(500),"(1,563)"
